3 to 5 Preschool,99835
Tanana District 4 H Leaders Council,99775
49 Writers Inc,99603
Abbott O Rabbit Little League,99511
ABC Pregnancy Care Center,99611
Abused Womens Aid in Crisis Inc AWAIC,99501
Access Alaska Inc,99501
ACLU of Alaska Foundation,99503
Alaska Center for Collaborative Child Therapy Inc,99524
Alaska Humane Society Inc,99524
Adult Learning Center,99507
Advocates for Dog and Puppy Wellness,99645
Advocates For Victims of Violence Inc,99686
AFACT  Anchorage Faith and Action Congregations Together,99514
The Ahtna Heritage Foundation,99588
AK Cat,99654
Alaska Childrens Services Inc,99507
Akeela Inc,99503
Alaska Arts and Culture Foundation,99510
Alaska Arts Confluence,99827
Alaska Arts Education Consortium INC,99801
Alaska Assistance Dogs,99654
Alaska Association for Historic Preservation Inc,99510
Alaska Attachment and Bonding Associates,99687
Alaska Avalanche School,99510
Alaska Aviation Heritage Museum,99502
Southern Baptist Convention,99507
Alaska Baseball Academy Inc,99503
Alaska Bible College,99645
Alaska Botanical Garden,99507
Alaska Traumatic Brain Injury Advisory Board,99508
Alaska Branch of the International Dyslexia Association,99508
Alaska Business Development Center Inc,99501
Alaska Cancer Care Alliance,99508
AlaskaCatAdoptionTeam,99567
ACCA Inc,99701
Alaska Center for the Blind and Visually Impaired,99517
Alaska Center for the Performing Arts,99501
Alaska Chamber Singers,99510
Alaska Childrens Trust,99503
Alaska Chilkoot Bear Foundation Inc,99827
Alaska Christian College,99669
Alaska Commercial Fishermens Memorial in Juneau,99802
Alaska Community Action on Toxics,99503
Alaska Community Foundation,99503
Alaska Correctional Ministries Inc,99521
Alaska Development Corporation,99801
Alaska Dog and Puppy Rescue,99687
Alaska Engineering Education Foundation,99507
Alaska Equine Rescue,99687
Alaska Family Council,99523
Alaska Family Services Inc,99645
Alaska Farmland Trust Corporation,99645
Alaska FFA Association,99645
Alaska Fish and Wildlife Conservation Fund Inc,99501
Alaska Fisheries Development Foundation Inc,99929
Alaska Freedom Journey,99523
Alaska Geographic Association,99501
Alaska Health Fair Inc,99518
Alaska Hemophilia Association,99508
Alaska Historical Society,99510
Alaska Humanities Forum,99501
Alaska Mountain and Wilderness Huts Association Inc,99508
Alaska Innocence Project,99520
Alaska Institute for Justice,99501
Alaska Interior Marksmanship Committee,99708
Alaska International Senior Games Inc,99707
Alaska Judicial Observers Inc,99501
Alaska Junior Theater,99501
Alaska Kidney Patients Association Inc,99515
Alaska Legal Services Corporation,99501
Alaska Marine Conservation Council,99510
Christian Health Associates,99507
5 miler for mens cancer research,99524
Alaska Mining Hall of Fame Foundation,99708
Alaska Mobility Coalition,99503
Provincial Board of the Alaska Moravian Church,99559
Alaska Mountain Rescue Group,99524
The Alaska Multiple Sclerosis Center Inc,99508
Alaska Museum of Science And Nature,99508
Alaska Native Heritage Center,99504
Alaska Native Justice Center,99508
Alaska Network on Domestic Violence and Sexual Assault,99801
Alaska Pacific University,99508
Alaska Peace Officers Association,99524
Alaska Police Chaplains Ministry,99508
Alaska Public Health Association,99701
Alaska Right to Life INC,99501
Alaska Rural Veterinary Outreach Inc,99507
Alaska Science and Engineering Fair Inc,99577
Seward Association for the Advancement of Marine Science,99664
Alaska Search and Rescue Dogs Inc,99503
Alaska Society for Prevention of Cruelty to Animals,99518
Alaska State Firefighters Association,99685
Fraternal Order of Alaska State Troopers,99501
Alaska String Camps Inc,99577
Alaska Sustainable Fisheries Trust Inc,99835
Alaska Theatre of Youth,99510
Alaska Trails,99510
Alaska Veterans Foundation inc,99503
Alaska Veterans Memorial Museum,99577
Alaska WildBird Rehabilitation Center,99652
Alaska Wildlife Alliance,99520
Alaska Womens Network,99516
Alaska World Affairs Council,99501
Alaska Youth and Family Network,99523
Alaska State Youth Soccer Association,99901
Alaska Zoo,99507
Alaskan AIDS Assistance Association,99503
Alaskan Aviation Safety Foundation,99501
Alaskans For Life Inc,99803
Alaskans for Palmer Hay Flats State Game Refuge Inc,99654
Alaskas Extended Life Animal Sanctuary,99635
The Aleut Foundation,99503
Alpine Alternatives Inc,99507
Alutiiq Heritage Foundation,99615
Alyeska Mighty Mites Ski Racing Program Inc,99511
Alzheimers Disease Resource Agency of Alaska Inc,99507
American Bald Eagle Foundation,99827
American Diabetes Association Alaska Area,99503
American Foundation for Suicide Prevention,99507
American Heart Association,99517
American Lung Association of the Mountain Pacific,98109
American Red Cross of Alaska,99501
Alaska Moving Images Preservation Assoc,99508
Lutheran School Association of Anchorage Inc,99518
Anchor Point Public Library,99556
Anchorage Audubon Society,99510
Anchorage Civic Orchestra,99523
Anchorage Classical Ballet Academy,99518
Anchorage Coalition to End Homelessness,99524
Anchorage Community Concert Band,99514
Anchorage Community Land Trust,99508
Anchorage Community Mental Health Services Inc,99508
Anchorage Community Theatre Inc,99518
Anchorage Community YMCA,99507
Anchorage Concert Association Inc,99501
Anchorage Concert Chorus,99510
Anchorage Folk Festival Inc,99524
Anchorage Rescue Mission Inc,99523
Anchorage Library Foundation,99524
Anchorage Montessori School,99517
Anchorage Museum Association,99501
Anchorage Neighborhood Health Center Inc,99503
Anchorage Opera Company,99501
Anchorage Park Foundation,99503
Anchorage Police Department Auxiliary Search Team,99527
Christian Health Associates,99508
Christian Health Associates,99507
The Alaska Community Foundation,99503
Anchor Age Center,99501
Anchorage Ski Club Inc,99520
Anchorage Symphony Orchestra,99501
Anchorage Waterways Council,99524
Anchorage Youth Court,99510
Aquarian Parent Teacher Organization,99517
Arctic Access,99762
Arctic Amateur Radio Club,99708
Arctic Barnabas Ministries Inc,99611
Arctic Education Foundation,99723
Arctic German Shepherd Rescue Inc,99708
Arctic Slope Community Foundation Inc,99503
Armed Services YMCA of Alaska ASYMCA,99506
Arthritis Foundation Great West Region Inc,99503
Assets Inc,99508
Association for the Education of Young Children  Southeast Alaska,99801
Asthma and Allergy Foundation America Alaska Chapter,99520
ATHABASCAN FIDDLERS ASSOCIATION INC,99709
National Audubon Society,99501
Awana Clubs International,60107
Aiding Women in Abuse and Rape Emergencies Inc,99802
Backcountry Alaska Rescue K9,99507
Kodiak Historical Society,99615
Bartlett Regional Hospital Foundation,99801
Beacon Hill,99524
Beans Cafe,99510
Beckys Place Haven Of Hope,99827
Benefe Equine Assisted Therapy Center,99567
Bering Sea Womens Group,99762
Best Beginnings,99501
Bethel Family Clinic,99559
Big Brothers Big Sisters of Alaska,99503
Big Lake Library Advocates,99652
Bike Anchorage,99508
Bingle Camp Ministries,99708
Birchwood Camp of the Alaska United Methodist Conference Incorporated,99567
Bird Treatment And Learning Center Inc,99518
Black Sheep Harley Davidsons for Christ,99504
Blood Bank of Alaska,99508
Blood N Fire Ministry Of Alaska,99623
Great Alaska Council Boy Scouts of America,99504
Boys and Girls Club of the Kenai Peninsula,99611
Boys and Girls Club of Southcentral Alaska,99517
Brave Heart Volunteers Inc,99835
BREAST CANCER DETECTION CENTER OF ALASKA AND CHARITABLE ORGANIZATION,99701
Breast Cancer Focus Inc,99524
Bristol Bay Heritage Land Trust,99576
Bunnell Street Arts Center,99603
Calypso Farm and Ecology Center,99725
Camp Fire,99508
Southeast Alaska Cancer and Wellness Foundation,99802
Canine Comfort Inc,99557
Caring Paws Fund,99645
The Carol H Brice Family Center Inc,99701
Castle Mountain Coalition,99674
Catholic Community Service Inc,99801
Catholic Schools of Fairbanks,99701
Catholic Social Services,99508
CCS Early Learning,99645
Central Peninsula Health Foundation,99669
Challenge Alaska,99501
Challenger Learning Center of Alaska,99611
Child Evangelism Fellowship of AK Inc,99669
Alaska Community Foundation,99503
Chilkat Valley Preschool Inc,99827
Chinook Montessori Charter School Inc,99701
CHOICES Inc,99501
Chugiak Eagle River Foundation Inc,99577
Chugiak Eagle River Historical Society,99567
Chugiak Senior Citizens Inc,99567
CHUGIAK VOLUNTEER FIRE and RESCUE INC,99567
Civil Air Patrol Polaris Squadron,99501
Clausen Memorial Museum,99833
Clear Creek Cat Rescue,99502
Cold Climate Housing Research Center,99708
Community Connections Inc,99901
Beyond Borders Inc,99507
CoOccurring Disorders Institute Inc,99645
Cook Inletkeeper,99603
Cooper Landing Community Library,99572
Cooper Landing Emergency Services Inc,99572
Copper Mountain Foundation,99503
Copper River Watershed Project,99574
Cordova Family Resource Center,99574
Covenant Bible Camp,99684
Covenant House Alaska,99510
Crisis Pregnancy Center,99508
Crime Stoppers Of Anchorage Inc,99509
Cross Country Alaska Inc,99524
Cyranos Theatre Company,99501
Chugiak Youth Sports Association,99577
Dance Theatre Fairbanks,99701
DARE Alaska Inc,99507
Dare to Care,99567
Deltana Community Services Partnership,99737
Delta Library Association,99737
Denali Arts Council,99676
Denali Rescue Volunteers,99676
